title,url,date,text
Симоньян назвала срок завершения конфликта на Украине,https://lenta.ru/news/2025/04/13/simonyan-nazvala-srok-zaversheniya-konflikta-na-ukraine/,2025-04-13 23:32:00,"Главный редактор международной медиагруппы «Россия сегодня» и телеканала RT Маргарита Симоньян предположила, когда может закончиться конфликт на Украине. Об этом она высказалась в эфире программы «Вечер с Владимиром Соловьевым» на телеканале «Россия 1».
Симоньян назвала срок завершения конфликта на Украине и допустила, что это произойдет в 2025 году. По ее словам, наступило время налаживать отношения с Москвой.
«И я вас уверяю, если не произойдет ничего совершенно непредвиденного, то с божьей помощью в этом году закончится этот конфликт, который сейчас происходит, и мы еще увидим, как еще новые цари Иераклии на коленях будут снова просить Россию-матушку забрать их домой», — сказала она.
Ранее Симоньян оценила действия Запада в отношении Украины. По ее мнению, на данный момент Киеву не на что рассчитывать."
Фанаты группы «Кино» закрасили надпись в память о Паше Технике на стене Цоя,https://lenta.ru/news/2025/04/14/fanaty-gruppy-kino-zakrasili-nadpis-v-chest-pashi-tehnika-na-stene-tsoya/,2025-04-13 23:24:00,"Фанаты лидера группы «Кино» Виктора Цоя убрали со стены на Арбате, посвященной музыканту, надпись в память о рэпере Паше Технике (настоящая фамилия — Ивлев). Об этом сообщает Telegram-канал «112».
«Уже утром на стене лаконично красовалась надпись: “Цой жив, Техник мертв”», — говорится в сообщении. Затем в течение дня на место пришли люди с красками и кистями, и вместе вернули стене прежний вид.
Надпись на стене Цоя в честь скончавшегося рэпера появилась 10 апреля, до похорон музыканта. По информации Mash, граффити нарисовали с 02:00 до 04:00. После к стене приставили наряд.
На это граффити сразу ответил один художник — он наклеил сверху граффити с Техником плакаты, где Цой показывает средний палец."
На встречу по безопасности в Черном море приедут иностранные военные,https://lenta.ru/news/2025/04/13/sea/,2025-04-13 23:16:00,"На встречу по безопасности в Черном море приедут иностранные военные, сообщило Министерство обороны (МО) Турции, пишет государственное агентство Anadolu.
По данным издания, 15-16 апреля в штабе командования Военно-морских сил (ВМС) Турции состоится встреча по вопросам безопасности в Черном море.
«В ней будут участвовать военные представители иностранных государств, планируется обсуждение морского аспекта военного планирования для поддержания мира в Черном море», — говорится в сообщении.
При этом список государств в релизе не раскрывается. В англоязычной версии агентства уточняется, что российские представители на мероприятии присутствовать не будут.
Ранее стало известно, что Киев хочет мира до конца 2025 года."
Губерниев высмеял Гашека за слова о русских корнях Гретцки,https://lenta.ru/news/2025/04/13/guberniev-vysmeyal-gasheka-za-slova-o-russkih-kornyah-grettski/,2025-04-13 23:11:00,"Спортивный комментатор Дмитрий Губерниев прокомментировал слова олимпийского чемпиона и двукратного обладателя Кубка Стэнли Доминика Гашека о русских корнях канадского хоккеиста Уэйна Гретцки. Его цитирует «ВсеПроСпорт».
Губерниев заявил, что у Гашека началась агония. «Он превращается из человека разумного в человека умелого, то есть, у него эволюция наоборот. Скоро он станет рептилией и будет грызть лед», — высмеял чеха комментатор.
Ранее Доминик Гашек сделал заявление о русских корнях канадца Уэйна Гретцки. По его словам, дед хоккеиста был наполовину белорусом и наполовину украинцем. «Так что он, скорее всего, не имел никакого отношения к России. Или скорее не имел большого отношения к русским, учитывая историю его страны», — отметил чех.
6 апреля российский нападающий Александр Овечкин превзошел Гретцки по количеству голов в регулярных чемпионатах Национальной хоккейной лиги (НХЛ), забросив 895-ю шайбу. После этого Гретцки заявил: «Мой дедушка был русским, он был бы очень рад, что русский побил мой рекорд»."
Симоньян оценила действия Запада в отношении Украины,https://lenta.ru/news/2025/04/13/simonyan-otsenila-deystviya-zapada-v-otnoshenii-ukrainy/,2025-04-13 23:09:00,"Главный редактор международной медиагруппы «Россия сегодня» и телеканала RT Маргарита Симоньян прокомментировала текущие действия стран Запада в отношении конфликта на Украине. Об этом она высказалась в эфире программы «Вечер с Владимиром Соловьевым» на телеканале «Россия 1».
Симоньян оценила действия Запада в отношении Украины и назвала очевидным желание стран дать заднюю по Украине. По ее мнению, на данный момент Киеву не на что рассчитывать.
«Все ведет к завершению войны. И они в общем-то дают заднюю, я имею ввиду Запад по сравнению с тем, как они вели себя все предыдущие три года, это довольно-таки очевидно», — подчеркнула она.
Ранее Симоньян предрекла превращение удара по Сумам в «новую Бучу». По ее мнению, «это будет сделано с большой поддержкой прессы и другой драматургией, чтобы впечатлить впечатлительного» президента США Дональда Трампа."
Депутат Рады возложил ответственность за удар по Сумам на Зеленского,https://lenta.ru/news/2025/04/13/deputat-rady-vozlozhil-otvetstvennost-za-udar-po-sumam-na-zelenskogo/,2025-04-13 23:02:00,"Депутат Верховной Рады Артем Дмитрук возложил ответственность за удар по Сумам на украинского лидера Владимира Зеленского. Об этом он высказался в своем Telegram-канале.
«Можно много говорить о виновных в случившемся, даже называть имена, фамилии и должности. Но у всей этой бесовщины есть одно имя и фамилия, без должности — Зеленский Владимир!» — говорится в публикации.
Дмитрук счел, что Зеленский жертвует «десятками тысяч жизней гражданский, детей только для одного — продолжения своей власти, утверждения в своих действиях, своей позиции». «Ну и основной цели — служения бесу!» — сказал депутат.
Ранее Зеленский заявил, что число погибших при ударе по Сумам достигло 34 человек.
Депутат Верховной Рады Марьяна Безуглая рассказала, что удар по центру города Сумы пришелся по скоплению военных. Мэр Конотопа Артем Семенихин сообщил, что они отмечали семилетнюю годовщину создания 117-й бригады теробороны в Сумах, куда пришелся удар."
В ходе операции «Поток» получившие множество ранений бойцы продолжали штурм,https://lenta.ru/news/2025/04/14/v-hode-operatsii-potok-poluchivshie-mnozhestvo-raneniy-boytsy-prodolzhali-shturm/,2025-04-13 23:00:00,"В ходе проведения операции «Поток» по освобождению Суджи в Курской области бойцы получали множество ранений, однако продолжали штурм, выполняя поставленную перед ними задачу. Об этом рассказал один из участников операции с позывным Аид, его цитирует РИА Новости.
По его словам, у части военнослужащих было больше десяти ранений, но они продолжали бой, оказав себе первую помощь. «Некоторые бойцы (...) даже не бинтовались, а перетягивали раны скотчем металлическим и шли дальше штурмовать», — сообщил Аид.
По его мнению, благодаря такой самоотверженности и героизму российских солдат удалось освободить большую часть оккупированных Вооруженными силами Украины территорий в течение двух суток.
«Операция ""Поток"" — это пример того, почему фраза ""Умираю, но не сдаюсь"" написана только на русском языке», — резюмировал боец.
Ранее стало известно, что провести операцию «Поток» решили еще в ноябре 2024 года.
Telegram-канал «Военная хроника» писал, что украинские военные заметили вышедших из трубы российских бойцов лишь через несколько часов."
Раскрыты подробности о проведении операции «Поток»,https://lenta.ru/news/2025/04/13/raskryty-podrobnosti-o-provedenii-operatsii-potok/,2025-04-13 22:55:00,"Боец штурмовой бригады «Ветераны» Александр Богачев рассказал, когда было принято решение о штурме Суджи в Курской области с использованием газопровода. Его слова приводит ТАСС.
Богачев раскрыл подробности о проведении операции «Поток» и подчеркнул, что ее решили провести в ноябре 2024 года. Он уточнил, что все газовые трубы находились под давлением, поэтому пришлось стравливать газ.
«Необходимо было стравливать газ с одной из этих труб. Естественно, можно было это сделать быстро, открыто, но тем самым мы могли себя, так сказать, демаскировать», — отметил штурмовик.
Ранее Telegram-канал «Военная хроника» описал подробности операции «Поток». По информации источника, украинские военные заметили вышедших из трубы российских бойцов лишь через несколько часов.
Более 800 российских военнослужащих попали в Суджу по газовой трубе. Штурмовики ползли по ней 14 километров, им не хватало воздуха и воды. Операцию назвали «Поток»."
На Западе рассказали об уничтожении танков НАТО на Украине,https://lenta.ru/news/2025/04/13/nato/,2025-04-13 22:51:00,"Вооруженные силы (ВС) России с высокой эффективностью и скоростью уничтожают танки, поставленные странами НАТО Украине Об этом пишет National Security Journal (NSJ).
По данным издания, российская армия смогла эффективно и легко уничтожить украинскую бронетехнику благодаря использованию FPV-дронов, барражирующих боеприпасов Lancet и противотанкового ракетного комплекса (ПТРК) «Корнет».
Журналисты рассказали, что «Корнет» вывел из строя множество танков западного производства с толстой броней.
Ранее сообщалось, что российские военные уничтожили три танка ВСУ в Курской области FPV-дронами."
ВСУ зверски расправились с договаривавшимся о сдаче в плен командиром,https://lenta.ru/news/2025/04/14/vsu-zverski-raspravilis-s-dogovarivavshimsya-o-sdache-v-plen-komandirom/,2025-04-13 22:43:00,"Солдаты Вооруженных сил Украины (ВСУ) расправились со своим командиром, который вел переговоры с российской стороной, чтобы добровольно сдаться в плен. Об этом сообщает ТАСС со ссылкой на силовые структуры.
«Несколько дней назад нам стало известно, что офицер ВСУ, который вел переговоры с российской стороной, был зверски убит на территории монастырского комплекса», — говорится в сообщении.
Уточняется, что пострадали и несколько сослуживцев погибшего, так как они также поддержали решение командира о сдаче в плен.
Ранее в плен под Часовым Яром сдались двое украинских военнослужащих. Они пояснили, что не видели никакого смысла в сопротивлении российским солдатам."
В Одессе раздались взрывы,https://lenta.ru/news/2025/04/13/v-odesse-razdalis-vzryvy/,2025-04-13 22:36:00,"Не менее пять взрывов раздались в Одессе. Об этом написал Telegram-канал «Военный обозреватель».
Известно, что взрывы прогремели в портовой зоне города. В публикации уточняется, что российские беспилотные летательные аппараты (БПЛА) «Герань-2» ведут работу по своим целям.
До этого взрывы в Одессе прогремели 12 апреля .Информация об этом была опубликована в 1:51 по московскому времени. Где именно они произошли, не уточняется.
Спустя одиннадцать минут стало известно о новых взрывах в городе. До этого их зафиксировали в Сумах на севере Украины."
В ЮАР назвали цель предстоящего визита Зеленского,https://lenta.ru/news/2025/04/14/v-yuar-nazvali-tsel-predstoyaschego-vizita-zelenskogo/,2025-04-13 22:29:00,"Президент Украины Владимир Зеленский намерен посетить Южно-Африканскую Республику (ЮАР), чтобы добиться продолжения конфликта, заручившись поддержкой Глобального Юга. Такой точкой зрения поделился член республиканского парламента и глава партии «Движение за преобразование Африки» Вуйо Зунгула, его слова передает RT.
«Делается это только из-за того, что Соединенные Штаты решили больше не предоставлять ему [Зеленскому] финансирование. Он едет просто из стремления поддержать свою актуальность», — сказал Зунгула.
Политик отметил, что украинский лидер не планирует говорить с теми, кто бы мог предоставить какие-то решения для урегулирования конфликта. Зунгула подчеркнул, что Зеленский совершает турне по разным странам с самого начала конфликта.
RT отмечает, что поездка президента Украины в ЮАР запланирована на 24 апреля.
Ранее депутат Верховной Рады Александр Дубинский заподозрил Зеленского в подготовке к выборам на Украине."
Военный аналитик оценил удар по скоплению бойцов ВСУ в Сумах,https://lenta.ru/news/2025/04/13/analitik/,2025-04-13 22:28:00,"Ракетный удар российских военных по одному из административных зданий в Сумах, где проходила церемония награждения личного состава бригады Вооруженных сил Украины (ВСУ), стал возможен благодаря заранее полученным разведывательным данным. Об этом рассказал военный аналитик Игорь Коротченко, пишет ТАСС.
Он оценил удар Вооруженных сил (ВС) РФ по месту встречи иностранцев с ВСУ в Сумах.
«Это свидетельствует о том, что в Сумах развернута и действует российская агентурная сеть, информирующая об оперативной обстановке», — уточнил он.
Специалист добавил, что поступившая первичная разведывательная информация была переподтверждена из других источников.
Ранее стало известно, что удар по Сумам был нанесен во время награждения бойцов ВСУ и иностранных наемников."
На Украине выступили с новым обвинением в адрес главы Сумской области,https://lenta.ru/news/2025/04/13/na-ukraine-vystupili-s-novym-obvineniem-v-adres-glavy-sumskoy-oblasti/,2025-04-13 22:23:00,"Мэр Конотопа Артем Семенихин заявил, что взрыв в Сумах 24 марта, в результате которого пострадали около ста человек, не был вызван ракетным ударом. Его слова передает «Страна.ua».
Он обвинил губернатора Сумской области Владимира Артюха в намеренной лжи по этому поводу. «Артюх рассказывал о прилете ракеты якобы по городу Сумы. А на самом деле этот мерзавец просто решил что-то поставить, сложить в центре Сум, и потом что-то произошло», — сказал Семенихин.
«Страна.ua» отмечает, что в местных пабликах предполагали, что взорвались боеприпасы, которые хранились среди жилой застройки. При этом, согласно официальной версии, по городу был нанесен ракетный удар.
Ранее мэр Конотопа призвал губернатора региона уйти в отставку и извиниться после российского удара по Сумам 13 апреля."
ВСУ ударили по Херсонской области,https://lenta.ru/news/2025/04/13/vsu-udarili-po-hersonskoy-oblasti/,2025-04-13 22:22:00,"Губернатор Херсонской области Владимир Сальдо заявил, что Вооруженные силы Украины (ВСУ) ударили по региону, работает система противовоздушной обороны (ПВО). Об этом он сообщил в своем Telegram-канале.
«Зафиксированы сбития нескольких БПЛА над акваториями Черного и Азовского морей, а также в небе над Нижнесерогозским и Геническим муниципальными округами», — сообщил Сальдо.
По его словам, также зафиксированы прилеты по коммунальной инфраструктуре и дорожной технике. Информация о пострадавших уточняется.
Ранее Сальдо заявил, что Владимир Зеленский срывает все мирные инициативы президента США Дональда Трампа по Украине. Политик назвал Зеленского «марионеткой нижнего уровня», которая беспрекословно выполняет указания. Губернатор подчеркнул, что мирным инициативам Трампа противостоят представители финансово-олигархической элиты и их ставленники из руководства государств и ряда международных организаций."
В ЕС начали готовить предложения для отмены пошлин США,https://lenta.ru/news/2025/04/13/v-es-nachali-gotovit-predlozheniya-dlya-otmeny-poshlin-ssha/,2025-04-13 22:20:00,"Перед встречей премьер-министра Италии Джорджи Мелони с президентом США Дональдом Трампом для переговоров по поводу пошлин, запланированной на 17 апреля, Еврокомиссия обращалась к странам-членам ЕС с вопросом о готовности закупать больше американских газа и оружия. Об этом написала газета Corriere della Sera без указания источников.
Уточняется, что в европейских странах начали готовить предложения для отмены пошлин США. Журналисты утверждают, что Италия «дала зеленый свет» по обоим пунктам после оценок, которые сделало правительство вместе с нефтегазовой компанией Eni и предприятиями из оборонной промышленностью, среди которых Leonardo. Власти общались с производствами, способными сотрудничать с США, а также с теми, кто уже занимается этим.
2 апреля Трамп подписал указ о повышении импортных пошлин на продукцию из 185 стран. Базовая ставка составила 10 процентов, однако для ряда государств пошлины достигли 30-55 процентов.
Наиболее высокие тарифы оказались у Камбоджи (49 процентов), Вьетнама (46 процентов), Таиланда (36 процентов) и Китая (34 процента). Решение ужесточить торговлю Трамп объяснил усиливающимся торговым дисбалансом, угрожающим национальной безопасности США."
